residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
1163, 114.0468184, 22.53617496, 2488563, 50274, 1
604, 113.927215, 22.50483595, 2575350, 51507, 1
1285, 114.0806025, 22.53393115, 1688668, 34114.5, 1
270, 114.2494805, 22.73784483, 813127, 16426.8, 1
922, 114.0174534, 22.53769325, 1304739, 26094.78, 1
965, 114.1354799, 22.57894241, 1403325, 28350, 1
796, 114.0145377, 22.55724398, 2699730, 54540, 1
860, 114.1199951, 22.58974927, 1127858, 22785.02, 1
1185, 114.0299304, 22.55647756, 3051000, 61020, 1
389, 113.8270988, 22.77309735, 1250363, 25515, 1
1433, 114.1563305, 22.5618983, 1507572, 30456, 1
147, 114.0822683, 22.55456271, 2673000, 59620.3633728, 1
1479, 113.9081022, 22.57355042, 2875500, 57510, 1
423, 114.2657518, 22.75309329, 1021842, 20436.84, 1
647, 114.2025724, 22.7228733, 863932, 17278.64, 1
1281, 113.8143349, 22.69694457, 1287900, 25758, 1
1335, 114.2183471, 22.68698225, 1406700, 28134, 1
549, 114.0126279, 22.63442864, 1863000, 37260, 1
497, 114.111386, 22.53035179, 1115761, 22315.22, 1
845, 114.1392355, 22.57976, 1417883, 28357.66, 1
481, 114.069169, 22.61745259, 1574100, 31482, 1
241, 113.9075557, 22.52137828, 2301834, 46501.7, 1
1386, 113.9185713, 22.50072078, 2596050, 51921, 1
1415, 114.2940064, 22.72836775, 990900, 19818, 1
1408, 113.9605944, 22.52511671, 2924128, 59670, 1
312, 113.9321822, 22.52669891, 2064771, 41295.42, 1
148, 113.8257284, 22.65217284, 1120121, 22628.7, 1
800, 114.2713839, 22.59147039, 999000, 19980, 1
789, 113.9237689, 22.50413218, 2084400, 41688, 1
0, 114.08516575967163, 22.548782461573214, 1949126, 35201.22518149439, 0
1077, 113.9105138, 22.58366547, 1737450, 35100, 1
620, 113.9317283, 22.49017464, 2143854, 42877.08, 1
244, 113.9574537, 22.57223028, 1942380, 39240, 1
337, 114.1354574, 22.69815314, 938223, 18954, 1
81, 114.0407151, 22.71409815, 899100, 17982, 1
431, 114.2116775, 22.71566268, 1045143, 23311.562078764804, 0
1022, 113.9031903, 22.57336645, 2653728, 53610.66, 1
300, 113.883369, 22.59400215, 1652400, 33048, 1
86, 113.9845005, 22.54563949, 2543805, 51390, 1
1342, 113.8688348, 22.55791811, 1674000, 33480, 1
1005, 114.2988156, 22.77291042, 692621, 15448.67398584749, 0
334, 113.9940942, 22.66668585, 1389292, 28350, 1
18, 114.1368988, 22.67066874, 977400, 19548, 1
230, 113.8930961, 22.58007421, 1418080, 31629.795176537857, 1
106, 114.257763, 22.69628148, 1620000, 32400, 1
126, 114.3084143, 22.69174742, 823444, 16635.24, 1
905, 114.1142512, 22.55208526, 1750810, 35016.2, 1
1299, 114.1051182, 22.56608791, 1132650, 22653, 1
585, 113.9657245, 22.55509926, 3015852, 60926.3, 1
1501, 113.8900357, 22.56533147, 1382400, 27648, 1
134, 113.9232246, 22.49075521, 1751549, 35742.24, 1
985, 114.03878, 22.60185337, 2317950, 46359, 1
1473, 113.9027451, 22.55591932, 1879119, 41913.115451078396, 1
500, 114.0387322, 22.56494399, 1427382, 31837.27404107521, 1
94, 114.0908567, 22.56083649, 2224800, 44496, 1
983, 114.1762171, 22.64703616, 994356, 20088, 1
261, 113.9254412, 22.49806383, 2062350, 41247, 1
1101, 113.9078936, 22.51408319, 1998000, 44119.068895872, 1
286, 114.2138858, 22.7535822, 796500, 15930, 1
1460, 114.1376447, 22.57401299, 1855971, 37494.36, 1
96, 113.9131014, 22.50435826, 2405453, 53116.28960599699, 1
556, 114.0480173, 22.51930582, 2318530, 47790, 1
271, 114.0306166, 22.56827822, 2141775, 42835.5, 1
635, 114.2487939, 22.59399093, 1368288, 27365.76, 1
1424, 113.8877196, 22.49878479, 1662768, 33255.36, 1
203, 114.2631808, 22.70374803, 684288, 13824, 1
645, 114.2209095, 22.72832054, 976500, 21562.698086495995, 0
618, 114.2356595, 22.56404745, 1075883, 21735, 1
218, 114.1281667, 22.69269459, 702999, 15680.155567046402, 1
1127, 113.8947251, 22.57459705, 1305801, 26116.02, 1
257, 113.8936399, 22.76805679, 983124, 21708.966711303936, 0
1157, 114.0294657, 22.63053454, 1436738, 29025, 1
1156, 114.2260265, 22.73332349, 1409400, 28188, 1
344, 114.03412, 22.55356374, 2034153, 41094, 1
774, 114.2246353, 22.55317367, 1133519, 23802.718037858638, 1
1287, 114.1171319, 22.567793, 1344600, 26892, 1
895, 114.0766158, 22.57425922, 2592000, 51840, 1
1454, 113.9403372, 22.5896344, 1908900, 38178, 1
1395, 114.051767, 22.56786803, 1441321, 28782.6077126304, 1
590, 114.2078712, 22.6531411, 1107000, 22140, 1
199, 114.0899097, 22.55059307, 1535544, 30710.88, 1
448, 114.0390147, 22.52935351, 1611990, 37429.774533524156, 0
616, 113.8511874, 22.57309821, 2096550, 41931, 1
523, 113.8772696, 22.56713794, 2386800, 47736, 1
289, 114.3062945, 22.60154936, 756459, 15282, 1
919, 113.9213038, 22.5238211, 2272050, 50677.308866880005, 1
6, 114.3355732, 22.71003255, 1069200, 21600, 1
566, 113.8933719, 22.5757923, 1567188, 31343.76, 1
75, 114.2023, 22.65179365, 747900, 16514.8406542656, 0
909, 114.4162602, 22.63603056, 926829, 18536.58, 1
272, 114.0301127, 22.52337261, 2017143, 40342.86, 1
1008, 114.0039703, 22.63806732, 1518264, 30672, 1
914, 114.0652493, 22.53848359, 1803600, 36072, 1
1354, 114.0570772, 22.63420971, 978318, 21821.052994444803, 0
1332, 114.0623598, 22.62679902, 1854900, 37098, 1
741, 114.1727868, 22.6443289, 955800, 19116, 1
1100, 114.1245297, 22.57408031, 1652715, 33054.3, 1
707, 113.9367698, 22.75570779, 1401300, 30942.968590483204, 1
600, 113.9448743, 22.54952583, 2724803, 55046.52, 1
631, 113.9211362, 22.49684441, 1827360, 36547.2, 1
