CID,Price,Capacity,Long,Lat
325,18000,33,116.23611900000,39.88066200000
326,18000,96,116.35459800000,40.03187000000
327,13000,18,116.20476600000,39.69277600000
328,13000,12,116.71058800000,40.25279700000
329,14000,24,116.70586200000,39.98337300000
330,13000,15,116.74420200000,40.14687400000
331,14000,54,116.51728400000,39.79010700000
332,30000,27,116.58407300000,39.92574200000
333,10000,33,116.62636900000,40.28344800000
334,13000,48,116.37208200000,40.06971000000
335,20000,42,116.44550300000,39.85891600000
336,13000,12,116.83149300000,39.85063000000
337,12000,18,116.80854100000,39.79791700000
338,35000,18,116.42098700000,39.87725200000
339,18000,18,116.16318500000,40.09434800000
340,14000,30,116.33074300000,40.07672300000
341,13000,51,116.54703600000,40.26100700000
342,13000,45,116.76480700000,39.91891000000
343,13000,48,116.88854900000,40.07614200000
344,25000,45,116.52698300000,40.00172100000
345,13000,36,116.54039200000,40.16630600000
346,13000,45,116.17783800000,40.19831800000
347,12000,30,116.69734600000,39.70539800000
348,18000,42,116.40255800000,39.79568400000
349,20000,42,116.36443800000,39.89761200000
350,16000,24,116.29824900000,39.90584600000
351,13000,15,116.04991600000,39.59437400000
352,13000,18,116.25783500000,40.11499200000
353,14000,48,116.62349200000,39.62387400000
354,14000,27,116.54714700000,39.65636600000
355,13000,33,116.13884500000,40.13541700000
356,14000,96,116.36498700000,39.69734900000
357,14000,39,116.11772900000,39.78317700000
358,12000,72,116.57506400000,40.04534700000
359,12000,359,116.73787900000,40.02946500000
360,13000,36,116.41651000000,39.54043000000
361,13000,30,116.27669100000,39.74474300000
362,13000,24,116.60142000000,39.79871900000
363,18000,33,116.29119400000,40.05813400000
364,30000,24,116.37074800000,39.87138000000
365,30000,30,116.37175300000,39.98928000000
366,13000,12,116.48657800000,40.12294600000
367,14000,57,116.49179100000,39.74973800000
368,13000,27,116.29451300000,39.76171600000
369,13000,36,116.64639600000,39.80052500000
370,16000,9,116.20838000000,39.89217300000
371,35000,18,116.51256100000,39.98270100000
372,25000,21,116.63156800000,39.95716200000
373,13000,30,116.67347700000,39.94606900000
374,15000,57,116.24132600000,39.90450400000
375,18000,45,116.31376400000,39.79022900000
376,14000,54,116.47167200000,39.65461300000
377,11000,9,116.72585300000,40.42148700000
378,35000,54,116.37585600000,39.95425400000
379,16000,60,116.30700700000,39.84076200000
380,22000,27,116.26891200000,39.83466100000
381,16000,9,116.29075000000,39.98738200000
382,14000,9,116.06540700000,39.65918800000
383,18000,54,116.20015500000,40.13243900000
384,14000,30,116.20543900000,40.22091900000
385,25000,45,116.45245700000,40.01947400000
386,25000,51,116.50865500000,39.86924400000
387,22000,9,116.28150800000,39.98611700000
388,12000,27,116.66320600000,39.76020500000
389,12000,18,116.31078900000,40.09482500000
390,12000,390,116.66275000000,40.02170500000
