ScID,Category,Lat,Long,Capacity,Staff
2196,3,39.96817100000,116.44340200000,8,2
2197,3,39.77768100000,116.20783800000,8,2
2198,3,40.07823800000,116.53720300000,8,2
2199,3,39.87916400000,116.35916500000,8,2
2200,3,39.80482500000,116.07342400000,8,2
2201,3,39.82058900000,116.61122000000,8,2
2202,3,39.65767300000,115.95242600000,8,2
2203,3,40.01685800000,116.57312300000,8,2
2204,3,39.82788200000,116.67813100000,8,2
2205,3,40.01725400000,116.61537800000,8,2
2206,3,39.81637900000,116.47111000000,8,2
2207,3,39.76450300000,116.32703200000,8,2
2208,3,40.09877800000,116.45530200000,8,2
2209,3,39.84755200000,116.46979400000,8,2
2210,3,40.07212500000,116.60811600000,8,2
2211,3,39.67057400000,115.86503500000,8,2
2212,3,39.95624700000,116.59315100000,8,2
2213,3,39.90984400000,116.14525900000,8,2
2214,3,39.82441600000,116.62085000000,8,2
2215,3,40.20004700000,116.50556400000,8,2
2216,3,40.03904700000,116.29338600000,12,3
2217,3,39.84442800000,116.44154900000,12,3
2218,3,39.96559800000,116.41727200000,12,3
2219,3,39.92620500000,116.42570200000,12,3
2220,3,39.90542500000,116.33768700000,12,3
2221,3,40.15788400000,116.60437500000,12,3
2222,3,39.85222600000,116.12712200000,12,3
2223,3,40.27114300000,117.22215900000,12,3
2224,3,40.26307200000,116.54632500000,12,3
2225,3,40.03784700000,116.14896300000,12,3
2226,3,40.31629100000,116.59299000000,12,3
2227,3,39.93103400000,116.27927200000,12,3
2228,3,39.86071100000,116.29296300000,12,3
2229,3,39.86882700000,116.46710900000,12,3
2230,3,40.18186900000,117.06476100000,12,3
2231,3,39.94681000000,116.29896800000,12,3
2232,3,40.20270800000,116.14712800000,12,3
2233,3,40.04487200000,116.37884300000,12,3
2234,3,39.72892300000,116.70821400000,12,3
2235,3,39.72446700000,116.54775500000,12,3
2236,3,40.09716900000,116.48246800000,12,3
2237,3,40.03348400000,116.22645600000,12,3
2238,3,40.01587000000,116.33740200000,12,3
2239,3,40.06576800000,116.39449400000,12,3
2240,3,39.96380100000,116.60994000000,12,3
2241,3,39.70963600000,115.91594300000,12,3
2242,3,40.17328900000,116.17750000000,12,3
2243,3,39.90716600000,116.57438800000,12,3
2244,3,39.92917500000,116.59603500000,12,3
2245,3,40.03113200000,116.32257900000,12,3
2246,3,39.72278800000,116.06523100000,16,4
2247,3,39.80539100000,116.16634300000,16,4
2248,3,39.90632200000,116.69150200000,16,4
2249,3,39.74650100000,116.65120800000,16,4
2250,3,39.68965600000,116.05460100000,20,5
2251,3,39.90534100000,116.70088800000,12,3
2479,3,39.86715877000,116.58946580000,16,4
2480,3,39.90303982000,116.64564950000,20,5
2419,4,39.72417300000,115.99887300000,11,3
2420,4,39.93094800000,116.33737000000,11,3
2421,4,39.60996300000,116.77674900000,11,3
2422,4,39.95659100000,116.33094200000,11,3
2423,4,39.97511700000,116.44013400000,11,3
2424,4,40.22041600000,116.36945400000,11,3
2425,4,39.95479400000,116.52200700000,11,3
2426,4,39.96865500000,116.46583800000,11,3
2427,4,39.88855600000,116.49331200000,11,3
2428,4,39.99434200000,116.37121100000,11,3
2429,4,39.82874800000,116.51434800000,11,3
2430,4,40.15002900000,116.65107400000,11,3
2431,4,39.97976100000,116.21681800000,11,3
2432,4,39.98862300000,116.13769000000,11,3
2433,4,39.91774300000,116.26961100000,11,3
2434,4,39.71748600000,116.31058400000,12,3
2435,4,39.91018300000,116.42629300000,4,1
2436,4,39.94908200000,116.32410500000,8,2
2437,4,39.91029600000,116.57605000000,8,2
2438,4,40.04954100000,116.61371300000,8,2
2439,4,39.87156300000,116.56048300000,8,2
2440,4,39.98404100000,116.63680600000,8,2
2441,4,39.91832300000,116.10564500000,8,2
2442,4,40.15769600000,116.13865000000,8,2
2443,4,40.06147100000,116.77752600000,8,2
2444,4,39.91016300000,116.61066400000,8,2
2445,4,39.64862200000,116.37163200000,8,2
2446,4,40.04404400000,116.30318100000,8,2
2447,4,39.91266800000,116.31280600000,8,2
2448,4,39.90724600000,116.75635300000,8,2
2449,4,39.76509800000,116.27382200000,8,2
2450,4,39.80253900000,116.79653300000,8,2
2451,4,40.61049600000,116.53539400000,20,5
2452,4,40.03944700000,116.40009900000,20,5
2485,4,39.73489660000,116.49030540000,24,6
2374,5,40.15382700000,116.20317100000,15,4
2375,5,39.95411400000,116.44692800000,15,4
2376,5,40.14321800000,116.31211700000,15,4
2377,5,40.07761000000,116.26682500000,15,4
2378,5,40.09334700000,116.14902100000,15,4
2379,5,40.12650000000,116.31991300000,15,4
2380,5,39.91181100000,116.58795400000,15,4
2381,5,39.87213400000,116.45098900000,15,4
2382,5,39.81141500000,116.19417100000,15,4
2383,5,39.82850900000,116.42593900000,15,4
2384,5,39.83521600000,116.47525100000,11,3
2385,5,39.82029200000,116.53338200000,11,3
2386,5,39.98513100000,116.61018000000,11,3
2387,5,39.83281600000,116.41547900000,11,3
2388,5,39.89349600000,116.24164500000,11,3
2389,5,39.97521700000,116.29424000000,11,3
2390,5,39.95046500000,116.42605100000,11,3
2391,5,39.68816200000,116.05297800000,11,3
2392,5,39.83305000000,116.66640100000,11,3
