CFBID,Capacity,Long,Lat,CFBRent
375,45,116.3069634,39.78747148,18000
376,54,116.4634864,39.65655647,14000
377,9,116.7244649,40.42042068,11000
378,54,116.3721728,39.95845553,35000
379,60,116.3069634,39.83778341,16000
380,27,116.2678448,39.83778341,22000
381,9,116.2939233,39.98860877,16000
382,9,116.0593201,39.65655647,14000
383,54,116.2026599,40.12926163,18000
384,30,116.2026599,40.21963965,14000
385,45,116.4504403,40.01875684,25000
386,51,116.5026268,39.86796106,25000
387,9,116.2808837,39.98860877,22000
388,27,116.6592135,39.75727422,12000
389,18,116.3069634,40.09912929,12000
391,12,116.5287221,39.90818763,30000
392,24,116.1765909,39.80759871,16000
393,45,116.5417702,39.92829675,25000
394,30,116.1114321,39.74720669,13000
395,30,116.4504403,39.9685072,35000
396,12,116.150525,39.89813205,14000
397,57,116.2678448,40.06899316,18000
398,51,116.2417688,40.16943283,14000
399,21,116.4113045,39.98860877,20000
400,78,116.4634864,40.21963965,13000
401,15,116.6592135,39.88807577,13000
402,21,116.3330455,39.98860877,18000
404,48,116.6461635,39.67670784,13000
405,48,116.3330455,40.13930497,14000
407,36,116.2417688,39.67670784,13000
408,48,116.2156955,39.93835031,18000
409,9,116.2026599,40.03885287,18000
410,21,116.2808837,39.89813205,18000
411,87,116.4634864,39.89813205,20000
412,30,116.6983641,39.76734085,12000
413,9,116.3721728,39.99865868,30000
415,57,116.4373946,40.08908436,12000
416,84,115.9811798,39.83778341,14000
417,39,116.3200042,40.01875684,18000
418,69,116.5026268,39.81766108,12000
419,63,116.3330455,39.87801878,20000
420,24,116.0332695,39.87801878,15000
421,12,116.0332695,39.92829675,14000
422,39,116.4765328,39.8579026,20000
423,12,116.6592135,40.25980045,8000
424,45,116.2287318,40.00870803,18000
425,42,116.3330455,39.91824252,30000
426,30,116.4373946,39.99865868,35000
427,42,116.5809161,39.98860877,25000
428,33,116.7505658,39.83778341,12000
429,9,116.7897171,39.84784339,12000
430,12,116.2287318,39.99865868,18000
431,30,116.0853743,39.87801878,14000
432,66,116.6070145,39.99865868,25000
433,36,116.5417702,39.90818763,25000
434,36,116.1635576,40.02880511,20000
435,21,116.1635576,40.04890012,18000
436,27,116.6331137,40.2397205,12000
437,27,116.4113045,40.02880511,30000
438,18,116.0853743,40.18951644,13000
439,27,116.5678672,39.87801878,25000
440,48,116.3200042,39.92829675,16000
441,21,116.2939233,39.78747148,18000
442,48,116.5809161,39.94840323,25000
443,54,116.1374932,39.80759871,18000
444,15,116.1635576,40.15939055,13000
445,33,116.3982601,40.00870803,25000
446,27,116.1374932,39.67670784,14000
447,18,116.6331137,39.91824252,12000
448,30,116.4895796,39.71699862,14000
449,93,116.2417688,39.97855828,18000
450,75,116.4895796,39.91824252,30000
451,12,116.5156743,39.94840323,35000
452,15,116.7505658,39.68678201,13000
453,51,116.5287221,39.80759871,14000
454,51,116.4243493,39.89813205,35000
455,15,116.3852162,40.30999707,12000
456,33,116.150525,39.73713826,12000
457,18,116.3591298,39.82772264,18000
458,18,116.3852162,39.93835031,20000
459,12,116.6983641,40.17947479,12000
461,51,116.4373946,39.72706891,12000
462,27,116.5287221,39.9685072,25000
463,63,116.3200042,40.04890012,16000
464,24,116.5809161,39.7774066,14000
465,12,116.5548186,40.05894688,13000
466,30,116.3982601,40.10917381,13000
467,24,116.9202158,40.17947479,12000
468,24,116.4113045,40.35015195,9000
469,15,116.0332695,39.73713826,14000
470,42,116.4504403,40.12926163,13000
